,Theta,Alpha,Beta,Gamma
0,2.7149321266968327,0.4524886877828055,4.072398190045249,3.619909502262444
1,1.809954751131222,2.262443438914027,1.809954751131222,2.262443438914027
2,2.7149321266968327,1.3574660633484164,3.167420814479638,3.619909502262444
3,4.072398190045249,2.262443438914027,3.619909502262444,5.88235294117647
4,3.167420814479638,1.3574660633484164,1.3574660633484164,3.167420814479638
5,2.262443438914027,1.809954751131222,2.262443438914027,1.809954751131222
6,4.524886877828054,0.904977375565611,5.429864253393665,4.072398190045249
7,2.7149321266968327,1.3574660633484164,1.809954751131222,3.619909502262444
8,4.072398190045249,2.7149321266968327,4.524886877828054,0.904977375565611
9,5.88235294117647,0.904977375565611,3.619909502262444,2.7149321266968327
