,Theta,Alpha,Beta,Gamma
0,2.262443438914027,4.524886877828054,1.3574660633484164,3.619909502262444
1,3.619909502262444,2.7149321266968327,4.524886877828054,4.97737556561086
2,4.524886877828054,5.429864253393665,2.7149321266968327,3.619909502262444
3,5.429864253393665,0.904977375565611,4.524886877828054,3.619909502262444
4,3.167420814479638,3.167420814479638,2.7149321266968327,4.072398190045249
5,4.072398190045249,2.262443438914027,3.619909502262444,4.072398190045249
6,6.334841628959276,3.619909502262444,2.7149321266968327,2.7149321266968327
7,3.619909502262444,2.262443438914027,3.167420814479638,5.429864253393665
8,5.88235294117647,3.619909502262444,1.809954751131222,3.167420814479638
9,3.167420814479638,4.524886877828054,3.619909502262444,3.619909502262444
