,age,site
0,0.27,4
1,0.1517,0
2,0.69,1
3,0.77,1
4,0.32,4
5,0.55,1
6,0.7045999999999999,3
7,0.19,5
8,0.76,1
9,0.4083,0
10,0.2883,3
11,0.35,1
12,0.65,1
13,0.36,1
14,0.29,3
15,0.25,5
16,0.1336,0
17,0.22,2
18,0.3373,0
19,0.42,1
20,0.23309999999999997,3
21,0.6849,3
22,0.3,4
23,0.2944,0
24,0.19,5
25,0.4138,0
26,0.6463,3
27,0.3275,0
28,0.29,5
29,0.0644,0
30,0.2354,3
31,0.1887,3
32,0.3718,0
33,0.2,5
34,0.53,1
35,0.27,5
36,0.2286,3
37,0.58,1
38,0.38,1
39,0.7943000000000001,0
40,0.19,5
41,0.1821,3
42,0.2,5
43,0.68,1
44,0.27,2
45,0.55,1
46,0.1408,0
47,0.6448999999999999,3
48,0.38299999999999995,3
49,0.08259999999999999,0
50,0.29,2
51,0.12619999999999998,0
52,0.42,1
53,0.24600000000000002,3
54,0.33,1
55,0.228,3
56,0.19,5
57,0.2463,3
58,0.37,1
59,0.2612,3
60,0.48,1
61,0.1394,0
62,0.31,1
63,0.59,2
64,0.5945,0
65,0.7581,3
66,0.53,1
67,0.5791,0
68,0.38909999999999995,3
69,0.82,1
70,0.2934,3
71,0.68,1
72,0.37,2
73,0.17420000000000002,0
74,0.5802,0
75,0.17670000000000002,0
76,0.1014,0
77,0.25,5
78,0.22329999999999997,3
79,0.21,5
80,0.5142,0
81,0.28,1
82,0.42,1
83,0.29,1
84,0.31,4
85,0.65,1
86,0.64,2
87,0.79,1
88,0.41,1
89,0.21,5
90,0.82,1
91,0.4236,0
92,0.6972,3
93,0.73,1
94,0.19,5
95,0.27,1
96,0.19,5
97,0.2007,0
98,0.6756,3
99,0.59,1
100,0.1265,0
101,0.76,1
102,0.7,1
103,0.31489999999999996,3
104,0.1124,0
105,0.63,1
106,0.52,1
107,0.51,1
108,0.7,1
109,0.36,1
110,0.22,5
111,0.25,3
112,0.12279999999999999,0
113,0.4236,3
114,0.36,1
115,0.21,3
116,0.58,1
117,0.2602,0
118,0.42,2
119,0.25,5
120,0.6767,3
121,0.34,4
122,0.35,4
123,0.37189999999999995,0
124,0.65,1
125,0.54,1
126,0.25,4
127,0.69,1
128,0.71,1
129,0.2978,3
130,0.36,1
131,0.65,1
132,0.6459,3
133,0.23,4
134,0.81,1
135,0.32280000000000003,3
136,0.22,3
137,0.52,1
138,0.34,4
139,0.66,1
140,0.68,1
141,0.2253,3
142,0.7645000000000001,0
143,0.4086,0
144,0.41,1
145,0.2623,3
146,0.6,1
147,0.23,0
148,0.7058,3
149,0.21,5
150,0.7148,3
151,0.5992999999999999,3
152,0.6888,3
153,0.72,1
154,0.54,2
155,0.1912,3
156,0.4107,3
157,0.22,4
158,0.12390000000000001,0
159,0.66,1
160,0.25,4
161,0.7004,3
162,0.21,5
163,0.28,1
164,0.46,1
165,0.22,5
166,0.42,1
167,0.757,3
168,0.44079999999999997,0
169,0.26,4
170,0.2801,0
171,0.248,3
172,0.6143,3
173,0.66,1
174,0.66,1
175,0.83,1
176,0.2159,3
177,0.1267,0
178,0.37,1
179,0.1819,3
180,0.24,5
181,0.2284,3
182,0.19,5
183,0.57,1
184,0.32,1
185,0.1222,0
186,0.3,1
187,0.268,3
188,0.09369999999999999,0
189,0.73,1
190,0.22210000000000002,3
191,0.13699999999999998,0
192,0.76,1
193,0.79,1
194,0.85,1
195,0.53,1
196,0.6,1
197,0.6869,0
198,0.4415,3
199,0.4679,0
200,0.42,1
201,0.68,1
202,0.51,1
203,0.1137,0
204,0.1093,0
205,0.28,5
206,0.5525,0
207,0.79,1
208,0.225,3
209,0.2278,3
210,0.43,1
211,0.3,3
212,0.27699999999999997,3
213,0.6,3
214,0.4816,0
215,0.18,5
216,0.1182,0
217,0.26780000000000004,3
218,0.58,1
219,0.66,1
220,0.78,1
221,0.0729,0
222,0.34,1
223,0.46,1
224,0.27,5
225,0.71,1
226,0.27,4
227,0.82,1
228,0.22,5
